Iter 339/610 took 3.01 seconds
Iter 340/610 took 3.06 seconds
Iter 341/610 took 3.03 seconds
Iter 342/610 took 3.06 seconds
Iter 343/610 took 3.05 seconds
Iter 344/610 took 3.09 seconds
Iter 345/610 took 3.09 seconds
Iter 346/610 took 3.10 seconds
Iter 347/610 took 3.33 seconds
Iter 348/610 took 3.29 seconds
Iter 349/610 took 3.10 seconds
Iter 350/610 took 3.10 seconds
Iter 351/610 took 3.15 seconds
Iter 352/610 took 3.15 seconds
Iter 353/610 took 3.11 seconds
Iter 354/610 took 3.16 seconds
Iter 355/610 took 3.20 seconds
Iter 356/610 took 3.35 seconds
Iter 357/610 took 3.30 seconds
Iter 358/610 took 3.30 seconds
Iter 359/610 took 3.22 seconds
Iter 360/610 took 3.38 seconds
Iter 361/610 took 3.46 seconds
Iter 362/610 took 3.37 seconds
Iter 363/610 took 3.46 seconds
Iter 364/610 took 3.37 seconds
Iter 365/610 took 3.31 seconds
Iter 366/610 took 3.28 seconds
Iter 367/610 took 3.13 seconds
Iter 368/610 took 3.14 seconds
Iter 369/610 took 3.05 seconds
Iter 370/610 took 3.00 seconds
Iter 371/610 took 3.01 seconds
Iter 372/610 took 2.99 seconds
Iter 373/610 took 2.98 seconds
Iter 374/610 took 3.08 seconds
Iter 375/610 took 3.07 seconds
Iter 376/610 took 3.08 seconds
Iter 377/610 took 3.09 seconds
Iter 378/610 took 3.11 seconds
Iter 379/610 took 3.10 seconds
Iter 380/610 took 3.08 seconds
Iter 381/610 took 3.05 seconds
Iter 382/610 took 3.09 seconds
Iter 383/610 took 3.09 seconds
Iter 384/610 took 3.13 seconds
Iter 385/610 took 3.08 seconds
Iter 386/610 took 3.02 seconds
Iter 387/610 took 3.04 seconds
Iter 388/610 took 3.08 seconds
Iter 389/610 took 3.07 seconds
Iter 390/610 took 3.03 seconds
Iter 391/610 took 3.08 seconds
Iter 392/610 took 3.14 seconds
Iter 393/610 took 3.08 seconds
Iter 394/610 took 3.22 seconds
Iter 395/610 took 3.25 seconds
Iter 396/610 took 3.26 seconds
Iter 397/610 took 3.32 seconds
Iter 398/610 took 3.28 seconds
Iter 399/610 took 3.31 seconds
Iter 400/610 took 3.26 seconds
Iter 401/610 took 3.31 seconds
Iter 402/610 took 3.34 seconds
Iter 403/610 took 3.50 seconds
Iter 404/610 took 3.39 seconds
Iter 405/610 took 3.34 seconds
Iter 406/610 took 3.16 seconds
Iter 407/610 took 3.19 seconds
Iter 408/610 took 3.29 seconds
Iter 409/610 took 3.26 seconds
Iter 410/610 took 3.25 seconds
Iter 411/610 took 3.43 seconds
Iter 412/610 took 3.35 seconds
Iter 413/610 took 3.20 seconds
Iter 414/610 took 3.10 seconds
Iter 415/610 took 3.05 seconds
Iter 416/610 took 3.12 seconds
Iter 417/610 took 3.20 seconds
Iter 418/610 took 3.25 seconds
Iter 419/610 took 3.30 seconds
Iter 420/610 took 3.33 seconds
Iter 421/610 took 3.14 seconds
Iter 422/610 took 3.20 seconds
Iter 423/610 took 3.10 seconds
Iter 424/610 took 3.24 seconds
Iter 425/610 took 3.13 seconds
Iter 426/610 took 3.11 seconds
Iter 427/610 took 3.17 seconds
Iter 428/610 took 3.13 seconds
Iter 429/610 took 2.99 seconds
Iter 430/610 took 3.03 seconds
Iter 431/610 took 3.09 seconds
Iter 432/610 took 3.09 seconds
Iter 433/610 took 3.08 seconds
Iter 434/610 took 3.06 seconds
Iter 435/610 took 3.08 seconds
Iter 436/610 took 3.08 seconds
Iter 437/610 took 3.11 seconds
Iter 438/610 took 3.07 seconds
Iter 439/610 took 3.04 seconds
Iter 440/610 took 3.09 seconds
Iter 441/610 took 3.09 seconds
Iter 442/610 took 3.08 seconds
Iter 443/610 took 3.07 seconds
Iter 444/610 took 3.10 seconds
Iter 445/610 took 3.11 seconds
Iter 446/610 took 3.17 seconds
Iter 447/610 took 3.20 seconds
Iter 448/610 took 3.20 seconds
Iter 449/610 took 3.08 seconds
Iter 450/610 took 3.11 seconds
Iter 451/610 took 3.11 seconds
Iter 452/610 took 3.07 seconds
Iter 453/610 took 3.12 seconds
Iter 454/610 took 3.03 seconds
Iter 455/610 took 3.16 seconds
Iter 456/610 took 3.06 seconds
Iter 457/610 took 3.15 seconds
Iter 458/610 took 3.05 seconds
checkpoint saved to /home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_081_structural_v24_v22_hybrid_aperture_corridor_obs_from_loop078_final_20m/level3_loop_081_structural_v24_v22_hybrid_aperture_corridor_obs_from_loop078_final_20m_step_015000000.ckpt at global_step=15007744
Iter 459/610 took 3.16 seconds
Iter 460/610 took 3.10 seconds
Iter 461/610 took 3.15 seconds
Iter 462/610 took 3.18 seconds
Iter 463/610 took 3.18 seconds
Iter 464/610 took 3.13 seconds
Iter 465/610 took 3.17 seconds
Iter 466/610 took 3.13 seconds
Iter 467/610 took 3.07 seconds
Iter 468/610 took 3.12 seconds
Iter 469/610 took 3.16 seconds
Iter 470/610 took 3.28 seconds
Iter 471/610 took 3.31 seconds
Iter 472/610 took 3.15 seconds
Iter 473/610 took 3.15 seconds
Iter 474/610 took 2.98 seconds
Iter 475/610 took 3.05 seconds
Iter 476/610 took 3.04 seconds
Iter 477/610 took 3.07 seconds
Iter 478/610 took 3.01 seconds
Iter 479/610 took 3.28 seconds
Iter 480/610 took 3.31 seconds
Iter 481/610 took 3.33 seconds
Iter 482/610 took 3.34 seconds
Iter 483/610 took 3.41 seconds
Iter 484/610 took 3.35 seconds
Iter 485/610 took 3.33 seconds
Iter 486/610 took 3.36 seconds
Iter 487/610 took 3.31 seconds
Iter 488/610 took 3.23 secondswandb: updating run metadata
wandb: uploading history steps 19381-19509, summary, console lines 613-619
wandb: 
wandb: Run history:
wandb:                charts/SPS ▁▁▁▂▂▂▂▂▃▃▄▄▄▄▄▅▄▅▅▅▅▅▅▆▆▆▆▇▆▆▇▇▇▇▇▇█▇██
wandb:      charts/learning_rate ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
wandb:               global_step ▁▁▁▂▂▂▂▃▃▃▃▃▃▄▄▄▄▄▄▄▅▅▅▅▅▅▅▅▅▆▇▇▇▇▇▇▇███
wandb:          losses/approx_kl ▇▄▄▅▄▆▅▆▇█▃▄▅▁▂▆▆▄▄▇▅▄▅▄▃▃▄▆▅▄▅▅▄▂▄▅▃▅▂▅
wandb:           losses/clipfrac ▄▂▅█▄▄▂▅▄▇▃▇▆▆█▄▃▁▄▅▂▄▆▅▅▇▇▃▃▅▅▃▆▆▇▄█▇▅▃
wandb:            losses/entropy ▁▂▂▂▂▂▃▃▃▃▃▃▃▃▃▄▄▄▄▄▄▄▄▅▅▅▅▆▆▆▆▆▇▇▇▇▇███
wandb: losses/explained_variance ▄▃▄▄▅▁▄▂▄▅▄▃▄▆▃▇▇▅▄▅▄▅▆▂▄▄▃▅▅▆▂▄▅▇▄▅█▆▅▇
wandb:      losses/old_approx_kl ▆▄▅▆▂▁▂█▇▃▄▅▃▄▅▁▆▃▆▇▃▆▅▂▇▅▅▂▅▂▁▆▃▂▇▅▂▄▄▄
wandb:        losses/policy_loss ▆▅▃▂▇▁█▂▃▄▆▄▆▄█▃▄▄▅▅▄▆█▃▇▅▂▄▇█▅▄▃▄▃▄▄▄▆▄
wandb:         losses/value_loss ▃▂▅▄▅▄▄▅▃▂▅▅▄▆▂▃▃▁▅▂▆▇▃▅▃▄▆▁▅▄▃▂▄█▃▄▂▂▄▃
wandb:                       +48 ...
wandb: 
wandb: Run summary:
wandb:                charts/SPS 6388891
wandb:      charts/learning_rate 5e-05
wandb:               global_step 19988480
wandb:          losses/approx_kl 0.00412
wandb:           losses/clipfrac 0.01026
wandb:            losses/entropy 7.40713
wandb: losses/explained_variance 0.78671
wandb:      losses/old_approx_kl 0.00371
wandb:        losses/policy_loss -0.00298
wandb:         losses/value_loss 199.55345
wandb:                       +48 ...
wandb: 
wandb: 🚀 View run level3_loop_081_structural_v24_v22_hybrid_aperture_corridor_obs_from_loop078_final_20m at: https://wandb.ai/aojili77-technical-university-of-munich/ADR-PPO-Racing-Level3/runs/level3_loop_081_structural_v24_v22_hybrid_aperture_corridor_obs_from_loop078_final_20m
wandb: ⭐️ View project at: https://wandb.ai/aojili77-technical-university-of-munich/ADR-PPO-Racing-Level3
wandb: Synced 5 W&B file(s), 0 media file(s), 0 artifact file(s) and 0 other file(s)
wandb: Find logs at: ./wandb/run-20260622_064342-level3_loop_081_structural_v24_v22_hybrid_aperture_corridor_obs_from_loop078_final_20m/logs

Iter 489/610 took 3.25 seconds
Iter 490/610 took 3.22 seconds
Iter 491/610 took 3.22 seconds
Iter 492/610 took 3.25 seconds
Iter 493/610 took 3.26 seconds
Iter 494/610 took 3.34 seconds
Iter 495/610 took 3.22 seconds
Iter 496/610 took 3.06 seconds
Iter 497/610 took 3.07 seconds
Iter 498/610 took 3.04 seconds
Iter 499/610 took 3.09 seconds
Iter 500/610 took 3.05 seconds
Iter 501/610 took 3.01 seconds
Iter 502/610 took 3.03 seconds
Iter 503/610 took 3.06 seconds
Iter 504/610 took 3.08 seconds
Iter 505/610 took 3.01 seconds
Iter 506/610 took 2.95 seconds
Iter 507/610 took 3.05 seconds
Iter 508/610 took 3.06 seconds
Iter 509/610 took 3.08 seconds
Iter 510/610 took 3.12 seconds
Iter 511/610 took 3.07 seconds
Iter 512/610 took 3.06 seconds
Iter 513/610 took 3.04 seconds
Iter 514/610 took 3.05 seconds
Iter 515/610 took 3.10 seconds
Iter 516/610 took 3.07 seconds
Iter 517/610 took 3.09 seconds
Iter 518/610 took 3.10 seconds
Iter 519/610 took 3.17 seconds
Iter 520/610 took 3.22 seconds
Iter 521/610 took 3.21 seconds
Iter 522/610 took 3.15 seconds
Iter 523/610 took 3.14 seconds
