Iter 251/915 took 2.62 seconds
Iter 252/915 took 2.65 seconds
Iter 253/915 took 2.71 seconds
Iter 254/915 took 2.73 seconds
Iter 255/915 took 2.79 seconds
Iter 256/915 took 2.73 seconds
Iter 257/915 took 2.72 seconds
Iter 258/915 took 2.64 seconds
Iter 259/915 took 2.60 seconds
Iter 260/915 took 2.65 seconds
Iter 261/915 took 2.66 seconds
Iter 262/915 took 2.65 seconds
Iter 263/915 took 2.66 seconds
Iter 264/915 took 2.67 seconds
Iter 265/915 took 2.69 seconds
Iter 266/915 took 2.70 seconds
Iter 267/915 took 2.77 seconds
Iter 268/915 took 2.73 seconds
Iter 269/915 took 2.78 seconds
Iter 270/915 took 2.82 seconds
Iter 271/915 took 2.65 seconds
Iter 272/915 took 2.65 seconds
Iter 273/915 took 2.75 seconds
Iter 274/915 took 2.70 seconds
Iter 275/915 took 2.76 seconds
Iter 276/915 took 2.83 seconds
Iter 277/915 took 2.81 seconds
Iter 278/915 took 2.81 seconds
Iter 279/915 took 2.76 seconds
Iter 280/915 took 2.77 seconds
Iter 281/915 took 2.80 seconds
Iter 282/915 took 2.76 seconds
Iter 283/915 took 2.82 seconds
Iter 284/915 took 2.76 seconds
Iter 285/915 took 2.79 seconds
Iter 286/915 took 2.84 seconds
Iter 287/915 took 2.73 seconds
Iter 288/915 took 2.70 seconds
Iter 289/915 took 2.79 seconds
Iter 290/915 took 2.77 seconds
Iter 291/915 took 2.80 seconds
Iter 292/915 took 2.74 seconds
Iter 293/915 took 2.74 seconds
Iter 294/915 took 2.82 seconds
Iter 295/915 took 2.76 seconds
Iter 296/915 took 2.78 seconds
Iter 297/915 took 2.84 seconds
Iter 298/915 took 2.80 seconds
Iter 299/915 took 2.74 seconds
Iter 300/915 took 2.74 seconds
Iter 301/915 took 2.70 seconds
Iter 302/915 took 2.76 seconds
Iter 303/915 took 2.72 seconds
Iter 304/915 took 2.74 seconds
Iter 305/915 took 2.74 seconds
Iter 306/915 took 2.70 seconds
