Iter 275/2441 took 2.35 seconds
Iter 276/2441 took 2.34 seconds
Iter 277/2441 took 2.34 seconds
Iter 278/2441 took 2.35 seconds
Iter 279/2441 took 2.42 seconds
Iter 280/2441 took 2.58 seconds
Iter 281/2441 took 2.40 seconds
Iter 282/2441 took 2.38 seconds
Iter 283/2441 took 2.37 seconds
Iter 284/2441 took 2.34 seconds
Iter 285/2441 took 2.32 seconds
Iter 286/2441 took 2.39 seconds
Iter 287/2441 took 2.38 seconds
Iter 288/2441 took 2.39 seconds
Iter 289/2441 took 2.41 seconds
Iter 290/2441 took 2.43 seconds
Iter 291/2441 took 2.34 seconds
Iter 292/2441 took 2.39 seconds
Iter 293/2441 took 2.53 seconds
Iter 294/2441 took 2.32 seconds
Iter 295/2441 took 2.33 seconds
Iter 296/2441 took 2.38 seconds
Iter 297/2441 took 2.36 seconds
Iter 298/2441 took 2.33 seconds
Iter 299/2441 took 2.28 seconds
Iter 300/2441 took 2.35 seconds
Iter 301/2441 took 2.36 seconds
Iter 302/2441 took 2.36 seconds
Iter 303/2441 took 2.31 seconds
Iter 304/2441 took 2.34 seconds
Iter 305/2441 took 2.38 seconds
Iter 306/2441 took 2.33 seconds
checkpoint saved to /home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_004_gate_acquisition_safety/level3_loop_004_gate_acquisition_safety_step_010000000.ckpt at global_step=10027008
Iter 307/2441 took 2.34 seconds
Iter 308/2441 took 2.35 seconds
Iter 309/2441 took 2.37 seconds
Iter 310/2441 took 2.40 seconds
Iter 311/2441 took 2.42 seconds
Iter 312/2441 took 2.45 seconds
Iter 313/2441 took 2.46 seconds
Iter 314/2441 took 2.41 seconds
Iter 315/2441 took 2.40 seconds
Iter 316/2441 took 2.30 seconds
Iter 317/2441 took 2.38 seconds
Iter 318/2441 took 2.33 seconds
Iter 319/2441 took 2.33 seconds
Iter 320/2441 took 2.42 seconds
Iter 321/2441 took 2.36 seconds
Iter 322/2441 took 2.42 seconds
Iter 323/2441 took 2.43 seconds
Iter 324/2441 took 2.33 seconds
Iter 325/2441 took 2.35 seconds
Iter 326/2441 took 2.32 seconds
Iter 327/2441 took 2.33 seconds
Iter 328/2441 took 2.35 seconds
Iter 329/2441 took 2.37 seconds
Iter 330/2441 took 2.38 seconds
Iter 331/2441 took 2.34 seconds
Iter 332/2441 took 2.33 seconds
Iter 333/2441 took 2.43 seconds
Iter 334/2441 took 2.35 seconds
Iter 335/2441 took 2.40 seconds
Iter 336/2441 took 2.40 seconds
Iter 337/2441 took 2.30 seconds
Iter 338/2441 took 2.32 seconds
Iter 339/2441 took 2.37 seconds
Iter 340/2441 took 2.33 seconds
Iter 341/2441 took 2.37 seconds
Iter 342/2441 took 2.32 seconds
Iter 343/2441 took 2.40 seconds
Iter 344/2441 took 2.30 seconds
