Iter 212/1525 took 2.79 seconds
Iter 213/1525 took 2.73 seconds
Iter 214/1525 took 2.70 seconds
Iter 215/1525 took 2.68 seconds
Iter 216/1525 took 2.73 seconds
Iter 217/1525 took 2.70 seconds
Iter 218/1525 took 2.64 seconds
Iter 219/1525 took 2.81 seconds
Iter 220/1525 took 2.72 seconds
Iter 221/1525 took 2.69 seconds
Iter 222/1525 took 2.85 seconds
Iter 223/1525 took 2.75 seconds
Iter 224/1525 took 2.74 seconds
Iter 225/1525 took 2.75 seconds
Iter 226/1525 took 2.77 seconds
Iter 227/1525 took 2.70 seconds
Iter 228/1525 took 2.70 seconds
Iter 229/1525 took 2.79 seconds
Iter 230/1525 took 2.77 seconds
Iter 231/1525 took 2.77 seconds
Iter 232/1525 took 2.75 seconds
Iter 233/1525 took 2.74 seconds
Iter 234/1525 took 2.73 seconds
Iter 235/1525 took 2.73 seconds
Iter 236/1525 took 2.76 seconds
Iter 237/1525 took 2.78 seconds
Iter 238/1525 took 2.78 seconds
Iter 239/1525 took 2.83 seconds
Iter 240/1525 took 2.84 seconds
Iter 241/1525 took 2.86 seconds
Iter 242/1525 took 2.82 seconds
Iter 243/1525 took 2.86 seconds
Iter 244/1525 took 2.78 seconds
Iter 245/1525 took 2.78 seconds
Iter 246/1525 took 2.92 seconds
Iter 247/1525 took 2.89 seconds
Iter 248/1525 took 2.83 seconds
Iter 249/1525 took 2.88 seconds
Iter 250/1525 took 2.84 seconds
Iter 251/1525 took 2.85 seconds
Iter 252/1525 took 3.00 seconds
Iter 253/1525 took 3.02 seconds
Iter 254/1525 took 2.98 seconds
Iter 255/1525 took 2.86 seconds
Iter 256/1525 took 2.97 seconds
Iter 257/1525 took 2.84 seconds
Iter 258/1525 took 2.76 seconds
Iter 259/1525 took 2.87 seconds
Iter 260/1525 took 2.85 seconds
Iter 261/1525 took 2.84 seconds
Iter 262/1525 took 2.79 seconds
Iter 263/1525 took 2.82 seconds
Iter 264/1525 took 2.79 seconds
Iter 265/1525 took 2.87 seconds
Iter 266/1525 took 2.81 seconds
Iter 267/1525 took 2.92 seconds
Iter 268/1525 took 2.92 seconds
Iter 269/1525 took 2.98 seconds
Iter 270/1525 took 2.96 seconds
Iter 271/1525 took 2.93 seconds
Iter 272/1525 took 2.83 seconds
Iter 273/1525 took 2.80 seconds
Iter 274/1525 took 2.77 seconds
Iter 275/1525 took 2.78 seconds
Iter 276/1525 took 2.84 seconds
Iter 277/1525 took 2.85 seconds
Iter 278/1525 took 2.85 seconds
Iter 279/1525 took 2.87 seconds
Iter 280/1525 took 2.88 seconds
Iter 281/1525 took 2.93 seconds
Iter 282/1525 took 2.97 seconds
Iter 283/1525 took 3.03 seconds
Iter 284/1525 took 2.96 seconds
Iter 285/1525 took 2.92 seconds
Iter 286/1525 took 2.97 seconds
Iter 287/1525 took 2.95 seconds
Iter 288/1525 took 2.85 seconds
Iter 289/1525 took 2.87 seconds
Iter 290/1525 took 2.73 seconds
Iter 291/1525 took 2.83 seconds
Iter 292/1525 took 2.81 seconds
Iter 293/1525 took 2.78 seconds
Iter 294/1525 took 2.80 seconds
Iter 295/1525 took 2.77 seconds
Iter 296/1525 took 2.76 seconds
Iter 297/1525 took 2.77 seconds
Iter 298/1525 took 2.77 seconds
Iter 299/1525 took 2.72 seconds
Iter 300/1525 took 2.72 seconds
Iter 301/1525 took 2.72 seconds
Iter 302/1525 took 2.72 seconds
Iter 303/1525 took 2.79 seconds
Iter 304/1525 took 2.72 seconds
Iter 305/1525 took 2.73 seconds
Iter 306/1525 took 2.72 seconds
checkpoint saved to /home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_068_structural_v15_sensor15_curriculum_maturation_from_loop067_10m_to_60m/level3_loop_068_structural_v15_sensor15_curriculum_maturation_from_loop067_10m_to_60m_step_010000000.ckpt at global_step=10027008
Iter 307/1525 took 2.84 seconds
Iter 308/1525 took 2.82 seconds
Iter 309/1525 took 2.81 seconds
Iter 310/1525 took 2.80 seconds
Iter 311/1525 took 2.76 seconds
Iter 312/1525 took 2.73 seconds
Iter 313/1525 took 2.76 seconds
Iter 314/1525 took 2.80 seconds
Iter 315/1525 took 2.74 seconds
Iter 316/1525 took 2.73 seconds
Iter 317/1525 took 2.85 seconds
Iter 318/1525 took 2.89 seconds
Iter 319/1525 took 2.95 seconds
Iter 320/1525 took 2.79 seconds
Iter 321/1525 took 2.81 seconds
Iter 322/1525 took 2.87 seconds
Iter 323/1525 took 2.80 seconds
Iter 324/1525 took 2.83 seconds
Iter 325/1525 took 2.89 seconds
Iter 326/1525 took 2.97 seconds
Iter 327/1525 took 2.78 seconds
Iter 328/1525 took 2.85 seconds
Iter 329/1525 took 2.91 seconds
Iter 330/1525 took 2.92 seconds
Iter 331/1525 took 2.96 seconds
Iter 332/1525 took 2.82 seconds
Iter 333/1525 took 2.78 seconds
Iter 334/1525 took 2.78 seconds
Iter 335/1525 took 2.76 seconds
Iter 336/1525 took 2.70 seconds
Iter 337/1525 took 2.73 seconds
Iter 338/1525 took 2.75 seconds
Iter 339/1525 took 2.82 seconds
Iter 340/1525 took 2.71 seconds
Iter 341/1525 took 2.82 seconds
Iter 342/1525 took 2.77 seconds
Iter 343/1525 took 2.76 seconds
Iter 344/1525 took 2.77 seconds
Iter 345/1525 took 2.76 seconds
Iter 346/1525 took 2.78 seconds
Iter 347/1525 took 2.75 seconds
Iter 348/1525 took 2.69 seconds
Iter 349/1525 took 2.74 seconds
Iter 350/1525 took 2.82 seconds
Iter 351/1525 took 2.79 seconds
Iter 352/1525 took 2.83 seconds
Iter 353/1525 took 2.90 seconds
Iter 354/1525 took 2.89 seconds
Iter 355/1525 took 2.82 seconds
Iter 356/1525 took 2.78 seconds
Iter 357/1525 took 2.85 seconds
Iter 358/1525 took 2.89 seconds
Iter 359/1525 took 2.82 seconds
Iter 360/1525 took 2.80 seconds
Iter 361/1525 took 2.89 seconds
Iter 362/1525 took 2.89 seconds
Iter 363/1525 took 2.90 seconds
Iter 364/1525 took 2.81 seconds
Iter 365/1525 took 2.72 seconds
Iter 366/1525 took 2.80 seconds
Iter 367/1525 took 2.73 seconds
Iter 368/1525 took 2.75 seconds
Iter 369/1525 took 2.78 seconds
Iter 370/1525 took 2.85 seconds
Iter 371/1525 took 2.81 seconds
Iter 372/1525 took 2.79 seconds
Iter 373/1525 took 2.85 seconds
Iter 374/1525 took 2.78 seconds
Iter 375/1525 took 2.82 seconds
Iter 376/1525 took 2.74 seconds
Iter 377/1525 took 2.74 seconds
