Iter 528/3051 took 1.88 seconds
Iter 529/3051 took 1.83 seconds
Iter 530/3051 took 1.85 seconds
Iter 531/3051 took 1.91 seconds
Iter 532/3051 took 1.85 seconds
Iter 533/3051 took 1.87 seconds
Iter 534/3051 took 1.82 seconds
Iter 535/3051 took 1.85 seconds
Iter 536/3051 took 1.96 seconds
Iter 537/3051 took 1.93 seconds
Iter 538/3051 took 1.91 seconds
Iter 539/3051 took 1.88 seconds
Iter 540/3051 took 1.84 seconds
Iter 541/3051 took 1.88 seconds
Iter 542/3051 took 1.82 seconds
Iter 543/3051 took 1.87 seconds
Iter 544/3051 took 1.82 seconds
Iter 545/3051 took 1.84 seconds
Iter 546/3051 took 1.84 seconds
Iter 547/3051 took 1.90 seconds
Iter 548/3051 took 1.83 seconds
Iter 549/3051 took 1.83 seconds
Iter 550/3051 took 1.83 seconds
Iter 551/3051 took 1.89 seconds
Iter 552/3051 took 1.86 seconds
Iter 553/3051 took 1.94 seconds
Iter 554/3051 took 1.88 seconds
Iter 555/3051 took 1.93 seconds
Iter 556/3051 took 1.87 seconds
Iter 557/3051 took 1.89 seconds
Iter 558/3051 took 1.86 seconds
Iter 559/3051 took 1.91 seconds
Iter 560/3051 took 1.86 seconds
Iter 561/3051 took 1.88 seconds
Iter 562/3051 took 1.87 seconds
Iter 563/3051 took 1.87 seconds
Iter 564/3051 took 1.89 seconds
Iter 565/3051 took 1.89 seconds
Iter 566/3051 took 1.88 seconds
Iter 567/3051 took 1.92 seconds
Iter 568/3051 took 1.87 seconds
Iter 569/3051 took 1.84 seconds
Iter 570/3051 took 1.83 seconds
Iter 571/3051 took 1.87 seconds
Iter 572/3051 took 1.88 seconds
Iter 573/3051 took 1.92 seconds
Iter 574/3051 took 1.97 seconds
Iter 575/3051 took 1.89 seconds
Iter 576/3051 took 1.89 seconds
Iter 577/3051 took 1.95 seconds
Iter 578/3051 took 1.94 seconds
Iter 579/3051 took 1.96 seconds
Iter 580/3051 took 2.01 seconds
Iter 581/3051 took 1.90 seconds
Iter 582/3051 took 1.84 seconds
Iter 583/3051 took 1.91 seconds
Iter 584/3051 took 1.90 seconds
Iter 585/3051 took 1.90 seconds
Iter 586/3051 took 1.94 seconds
Iter 587/3051 took 1.82 seconds
Iter 588/3051 took 1.89 seconds
Iter 589/3051 took 1.92 seconds
Iter 590/3051 took 1.86 seconds
Iter 591/3051 took 1.86 seconds
Iter 592/3051 took 1.93 seconds
Iter 593/3051 took 1.83 seconds
Iter 594/3051 took 1.84 seconds
Iter 595/3051 took 1.96 seconds
Iter 596/3051 took 1.85 seconds
Iter 597/3051 took 1.84 seconds
Iter 598/3051 took 1.94 seconds
Iter 599/3051 took 1.99 seconds
Iter 600/3051 took 1.93 seconds
Iter 601/3051 took 1.98 seconds
Iter 602/3051 took 1.85 seconds
Iter 603/3051 took 1.85 seconds
Iter 604/3051 took 1.88 seconds
Iter 605/3051 took 1.88 seconds
Iter 606/3051 took 1.91 seconds
Iter 607/3051 took 1.90 seconds
Iter 608/3051 took 1.93 seconds
Iter 609/3051 took 1.80 seconds
Iter 610/3051 took 1.87 seconds
Iter 611/3051 took 1.87 seconds
checkpoint saved to /home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_016_loop010_step_curve_maturation_100m/level3_loop_016_loop010_step_curve_maturation_100m_step_020000000.ckpt at global_step=20021248
Iter 612/3051 took 1.99 seconds
Iter 613/3051 took 1.93 seconds
Iter 614/3051 took 1.83 seconds
Iter 615/3051 took 1.85 seconds
Iter 616/3051 took 1.87 seconds
Iter 617/3051 took 1.80 seconds
Iter 618/3051 took 1.87 seconds
Iter 619/3051 took 1.90 seconds
Iter 620/3051 took 1.94 seconds
