Iter 196/610 took 2.76 seconds
Iter 197/610 took 2.76 seconds
Iter 198/610 took 2.82 seconds
Iter 199/610 took 2.73 seconds
Iter 200/610 took 2.77 seconds
Iter 201/610 took 2.78 seconds
Iter 202/610 took 2.80 seconds
Iter 203/610 took 2.78 seconds
Iter 204/610 took 2.83 seconds
Iter 205/610 took 2.93 seconds
Iter 206/610 took 2.82 seconds
Iter 207/610 took 2.85 seconds
Iter 208/610 took 2.88 seconds
Iter 209/610 took 2.75 seconds
Iter 210/610 took 2.73 seconds
Iter 211/610 took 2.74 seconds
Iter 212/610 took 2.82 seconds
Iter 213/610 took 2.79 seconds
Iter 214/610 took 2.71 seconds
Iter 215/610 took 2.76 seconds
Iter 216/610 took 2.76 seconds
Iter 217/610 took 2.71 seconds
Iter 218/610 took 2.71 seconds
Iter 219/610 took 2.74 seconds
Iter 220/610 took 2.75 seconds
Iter 221/610 took 2.76 seconds
Iter 222/610 took 2.74 seconds
Iter 223/610 took 2.69 seconds
Iter 224/610 took 2.79 seconds
Iter 225/610 took 2.92 seconds
Iter 226/610 took 2.80 seconds
Iter 227/610 took 2.90 seconds
Iter 228/610 took 2.87 seconds
Iter 229/610 took 2.83 seconds
Iter 230/610 took 2.89 seconds
Iter 231/610 took 2.84 seconds
Iter 232/610 took 2.81 seconds
Iter 233/610 took 2.81 seconds
Iter 234/610 took 2.78 seconds
Iter 235/610 took 2.82 seconds
Iter 236/610 took 2.80 seconds
Iter 237/610 took 2.83 seconds
Iter 238/610 took 2.93 seconds
Iter 239/610 took 2.89 seconds
Iter 240/610 took 2.80 seconds
Iter 241/610 took 2.72 seconds
Iter 242/610 took 2.69 seconds
Iter 243/610 took 2.64 seconds
Iter 244/610 took 2.67 seconds
Iter 245/610 took 2.70 seconds
Iter 246/610 took 2.82 seconds
Iter 247/610 took 2.86 seconds
Iter 248/610 took 2.82 seconds
Iter 249/610 took 2.75 seconds
Iter 250/610 took 2.82 seconds
Iter 251/610 took 2.86 seconds
Iter 252/610 took 2.98 seconds
Iter 253/610 took 2.96 seconds
Iter 254/610 took 2.89 seconds
Iter 255/610 took 2.76 seconds
Iter 256/610 took 2.74 seconds
Iter 257/610 took 2.71 seconds
Iter 258/610 took 2.85 seconds
Iter 259/610 took 2.68 seconds
Iter 260/610 took 2.77 seconds
Iter 261/610 took 2.82 seconds
Iter 262/610 took 2.81 seconds
Iter 263/610 took 2.74 seconds
Iter 264/610 took 2.83 seconds
Iter 265/610 took 2.91 seconds
Iter 266/610 took 2.99 seconds
Iter 267/610 took 2.95 seconds
Iter 268/610 took 2.96 seconds
Iter 269/610 took 2.93 seconds
Iter 270/610 took 2.92 seconds
Iter 271/610 took 2.75 seconds
Iter 272/610 took 2.84 seconds
Iter 273/610 took 2.84 seconds
Iter 274/610 took 2.69 seconds
Iter 275/610 took 2.81 seconds
Iter 276/610 took 2.79 seconds
Iter 277/610 took 2.74 seconds
Iter 278/610 took 2.71 seconds
Iter 279/610 took 2.78 seconds
Iter 280/610 took 2.78 seconds
Iter 281/610 took 2.72 seconds
Iter 282/610 took 2.68 seconds
Iter 283/610 took 2.67 seconds
Iter 284/610 took 2.73 seconds
Iter 285/610 took 2.66 seconds
Iter 286/610 took 2.66 seconds
Iter 287/610 took 2.68 seconds
Iter 288/610 took 2.68 seconds
Iter 289/610 took 2.74 seconds
Iter 290/610 took 2.75 seconds
Iter 291/610 took 2.71 seconds
Iter 292/610 took 2.75 seconds
Iter 293/610 took 2.73 seconds
Iter 294/610 took 2.75 seconds
Iter 295/610 took 2.69 seconds
Iter 296/610 took 2.71 seconds
Iter 297/610 took 2.71 seconds
Iter 298/610 took 2.76 seconds
Iter 299/610 took 2.75 seconds
Iter 300/610 took 2.72 seconds
Iter 301/610 took 2.75 seconds
Iter 302/610 took 2.78 seconds
Iter 303/610 took 2.77 seconds
Iter 304/610 took 2.77 seconds
Iter 305/610 took 2.76 seconds
Iter 306/610 took 2.67 seconds
checkpoint saved to /home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_056_v5_loop052_remote_nominal_soft_centerline_light_plane_20m/level3_loop_056_v5_loop052_remote_nominal_soft_centerline_light_plane_20m_step_010000000.ckpt at global_step=10027008
Iter 307/610 took 2.73 seconds
Iter 308/610 took 2.67 seconds
Iter 309/610 took 2.72 seconds
Iter 310/610 took 2.71 seconds
Iter 311/610 took 2.73 seconds
Iter 312/610 took 2.70 seconds
Iter 313/610 took 2.71 seconds
Iter 314/610 took 2.70 seconds
Iter 315/610 took 2.71 seconds
Iter 316/610 took 2.71 seconds
Iter 317/610 took 2.73 seconds
Iter 318/610 took 2.73 seconds
Iter 319/610 took 2.69 seconds
Iter 320/610 took 2.72 seconds
Iter 321/610 took 2.79 seconds
Iter 322/610 took 2.73 seconds
Iter 323/610 took 2.77 seconds
Iter 324/610 took 2.82 seconds
Iter 325/610 took 2.83 seconds
Iter 326/610 took 2.75 seconds
Iter 327/610 took 2.78 seconds
Iter 328/610 took 2.70 seconds
Iter 329/610 took 2.69 seconds
Iter 330/610 took 2.68 seconds
Iter 331/610 took 2.69 seconds
Iter 332/610 took 2.78 seconds
Iter 333/610 took 2.77 seconds
Iter 334/610 took 2.83 seconds
Iter 335/610 took 2.88 seconds
Iter 336/610 took 2.87 seconds
Iter 337/610 took 2.90 seconds
Iter 338/610 took 2.95 seconds
Iter 339/610 took 3.00 seconds
Iter 340/610 took 2.95 seconds
Iter 341/610 took 2.80 seconds
Iter 342/610 took 2.80 seconds
Iter 343/610 took 2.69 seconds
Iter 344/610 took 2.79 seconds
Iter 345/610 took 2.80 seconds
Iter 346/610 took 2.77 seconds
Iter 347/610 took 2.79 seconds
Iter 348/610 took 2.90 seconds
Iter 349/610 took 2.71 seconds
Iter 350/610 took 2.71 seconds
Iter 351/610 took 2.71 seconds
Iter 352/610 took 2.74 seconds
Iter 353/610 took 2.71 seconds
Iter 354/610 took 2.75 seconds
Iter 355/610 took 2.72 seconds
Iter 356/610 took 2.80 seconds
Iter 357/610 took 2.74 seconds
Iter 358/610 took 2.76 seconds
Iter 359/610 took 2.80 seconds
Iter 360/610 took 2.78 seconds
Iter 361/610 took 2.78 seconds
Iter 362/610 took 2.79 seconds
Iter 363/610 took 2.79 seconds
Iter 364/610 took 2.82 seconds
Iter 365/610 took 2.73 seconds
Iter 366/610 took 2.82 seconds
Iter 367/610 took 2.76 seconds
Iter 368/610 took 2.76 seconds
Iter 369/610 took 2.75 seconds
Iter 370/610 took 2.81 seconds
Iter 371/610 took 2.93 seconds
Iter 372/610 took 2.85 seconds
Iter 373/610 took 2.95 seconds
Iter 374/610 took 2.77 seconds
Iter 375/610 took 2.83 seconds
Iter 376/610 took 2.87 seconds
Iter 377/610 took 2.82 seconds
Iter 378/610 took 2.74 seconds
Iter 379/610 took 2.76 seconds
Iter 380/610 took 2.77 seconds
Iter 381/610 took 2.71 seconds
Iter 382/610 took 2.71 seconds
Iter 383/610 took 2.68 seconds
Iter 384/610 took 2.64 seconds
Iter 385/610 took 2.81 seconds
Iter 386/610 took 2.78 seconds
Iter 387/610 took 2.84 seconds
Iter 388/610 took 2.72 seconds
Iter 389/610 took 2.69 seconds
Iter 390/610 took 2.71 seconds
Iter 391/610 took 2.70 seconds
Iter 392/610 took 2.70 seconds
Iter 393/610 took 2.71 seconds
Iter 394/610 took 2.71 seconds
Iter 395/610 took 2.75 seconds
Iter 396/610 took 2.76 seconds
Iter 397/610 took 2.75 seconds
Iter 398/610 took 2.75 seconds
Iter 399/610 took 2.78 seconds
Iter 400/610 took 2.80 seconds
Iter 401/610 took 2.72 seconds
Iter 402/610 took 2.70 seconds
Iter 403/610 took 2.82 seconds
Iter 404/610 took 2.75 seconds
Iter 405/610 took 2.70 seconds
Iter 406/610 took 2.76 seconds
Iter 407/610 took 2.73 seconds
Iter 408/610 took 2.71 seconds
Iter 409/610 took 2.72 seconds
Iter 410/610 took 2.73 seconds
Iter 411/610 took 2.73 seconds
Iter 412/610 took 2.74 seconds
Iter 413/610 took 2.73 seconds
Iter 414/610 took 2.68 seconds
Iter 415/610 took 2.78 seconds
Iter 416/610 took 2.84 seconds
Iter 417/610 took 2.83 seconds
Iter 418/610 took 2.72 seconds
Iter 419/610 took 2.78 seconds
Iter 420/610 took 2.86 seconds
Iter 421/610 took 2.83 seconds
Iter 422/610 took 2.83 seconds
Iter 423/610 took 2.85 seconds
Iter 424/610 took 2.88 seconds
Iter 425/610 took 2.86 seconds
Iter 426/610 took 2.88 seconds
Iter 427/610 took 2.77 seconds
Iter 428/610 took 2.83 seconds
Iter 429/610 took 2.82 seconds
Iter 430/610 took 2.77 seconds
Iter 431/610 took 2.80 seconds
Iter 432/610 took 2.77 seconds
Iter 433/610 took 2.73 seconds
Iter 434/610 took 2.77 seconds
Iter 435/610 took 2.72 seconds
Iter 436/610 took 2.67 seconds
Iter 437/610 took 2.73 seconds
Iter 438/610 took 2.72 seconds
Iter 439/610 took 2.72 seconds
Iter 440/610 took 2.79 seconds
Iter 441/610 took 2.70 seconds
Iter 442/610 took 2.74 seconds
Iter 443/610 took 2.85 seconds
Iter 444/610 took 2.74 seconds
Iter 445/610 took 2.76 seconds
Iter 446/610 took 2.79 seconds
Iter 447/610 took 2.80 seconds
Iter 448/610 took 2.75 seconds
Iter 449/610 took 2.73 seconds
Iter 450/610 took 2.89 seconds
Iter 451/610 took 2.80 seconds
Iter 452/610 took 2.91 seconds
