Iter 262/1373 took 3.07 seconds
Iter 263/1373 took 3.16 seconds
Iter 264/1373 took 3.16 seconds
Iter 265/1373 took 3.07 seconds
Iter 266/1373 took 3.08 seconds
Iter 267/1373 took 3.05 seconds
Iter 268/1373 took 3.07 seconds
Iter 269/1373 took 3.06 seconds
Iter 270/1373 took 3.14 seconds
Iter 271/1373 took 3.21 seconds
Iter 272/1373 took 3.02 seconds
Iter 273/1373 took 3.07 seconds
Iter 274/1373 took 3.06 seconds
Iter 275/1373 took 2.98 seconds
Iter 276/1373 took 3.04 seconds
Iter 277/1373 took 3.06 seconds
Iter 278/1373 took 3.19 seconds
Iter 279/1373 took 3.14 seconds
Iter 280/1373 took 3.02 seconds
Iter 281/1373 took 3.01 seconds
Iter 282/1373 took 2.99 seconds
Iter 283/1373 took 3.04 seconds
Iter 284/1373 took 3.21 seconds
Iter 285/1373 took 3.14 seconds
Iter 286/1373 took 3.06 seconds
Iter 287/1373 took 3.02 seconds
Iter 288/1373 took 3.04 seconds
Iter 289/1373 took 3.08 seconds
Iter 290/1373 took 3.23 seconds
Iter 291/1373 took 3.27 seconds
Iter 292/1373 took 3.13 seconds
Iter 293/1373 took 3.09 seconds
Iter 294/1373 took 3.07 seconds
Iter 295/1373 took 3.03 seconds
Iter 296/1373 took 3.10 seconds
Iter 297/1373 took 2.99 seconds
Iter 298/1373 took 2.98 seconds
Iter 299/1373 took 3.07 seconds
Iter 300/1373 took 3.13 seconds
Iter 301/1373 took 3.02 seconds
Iter 302/1373 took 3.00 seconds
Iter 303/1373 took 2.96 seconds
Iter 304/1373 took 3.02 seconds
Iter 305/1373 took 2.99 seconds
Iter 306/1373 took 2.95 seconds
checkpoint saved to /home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_084_structural_v26_v23_10m_success_replay_retention_mature_to_60m/level3_loop_084_structural_v26_v23_10m_success_replay_retention_mature_to_60m_step_010000000.ckpt at global_step=10027008
Iter 307/1373 took 2.96 seconds
Iter 308/1373 took 2.95 seconds
Iter 309/1373 took 2.97 seconds
Iter 310/1373 took 3.04 seconds
Iter 311/1373 took 3.02 seconds
Iter 312/1373 took 2.99 seconds
Iter 313/1373 took 3.13 seconds
Iter 314/1373 took 3.03 seconds
Iter 315/1373 took 3.14 seconds
Iter 316/1373 took 3.21 seconds
Iter 317/1373 took 3.15 seconds
Iter 318/1373 took 3.21 seconds
Iter 319/1373 took 3.18 seconds
Iter 320/1373 took 3.25 seconds
Iter 321/1373 took 3.06 seconds
Iter 322/1373 took 3.00 seconds
Iter 323/1373 took 2.99 seconds
Iter 324/1373 took 2.95 seconds
Iter 325/1373 took 2.97 seconds
Iter 326/1373 took 2.98 seconds
Iter 327/1373 took 2.99 seconds
Iter 328/1373 took 3.11 seconds
Iter 329/1373 took 3.11 seconds
Iter 330/1373 took 3.05 seconds
Iter 331/1373 took 2.97 seconds
Iter 332/1373 took 2.99 seconds
Iter 333/1373 took 3.06 seconds
