Iter 456/1831 took 2.76 seconds
Iter 457/1831 took 2.70 seconds
Iter 458/1831 took 2.74 seconds
checkpoint saved to /home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_026_v5_loop020_completion_backloaded_maturation_60m/level3_loop_026_v5_loop020_completion_backloaded_maturation_60m_step_015000000.ckpt at global_step=15007744
Iter 459/1831 took 2.61 seconds
Iter 460/1831 took 2.62 seconds
Iter 461/1831 took 2.60 seconds
Iter 462/1831 took 2.64 seconds
Iter 463/1831 took 2.66 seconds
Iter 464/1831 took 2.65 seconds
Iter 465/1831 took 2.65 seconds
Iter 466/1831 took 2.65 seconds
Iter 467/1831 took 2.66 seconds
Iter 468/1831 took 2.64 seconds
Iter 469/1831 took 2.68 seconds
Iter 470/1831 took 2.75 seconds
Iter 471/1831 took 2.67 seconds
Iter 472/1831 took 2.63 seconds
Iter 473/1831 took 2.62 seconds
Iter 474/1831 took 2.71 seconds
Iter 475/1831 took 2.64 seconds
Iter 476/1831 took 2.58 seconds
Iter 477/1831 took 2.65 seconds
Iter 478/1831 took 2.64 seconds
Iter 479/1831 took 2.59 seconds
Iter 480/1831 took 2.58 seconds
Iter 481/1831 took 2.65 seconds
Iter 482/1831 took 2.69 seconds
Iter 483/1831 took 2.74 seconds
Iter 484/1831 took 2.70 seconds
Iter 485/1831 took 2.76 seconds
Iter 486/1831 took 2.71 seconds
Iter 487/1831 took 2.63 seconds
Iter 488/1831 took 2.64 seconds
Iter 489/1831 took 2.65 seconds
Iter 490/1831 took 2.62 seconds
Iter 491/1831 took 2.67 seconds
Iter 492/1831 took 2.63 seconds
Iter 493/1831 took 2.65 seconds
Iter 494/1831 took 2.67 seconds
Iter 495/1831 took 2.68 seconds
Iter 496/1831 took 2.64 seconds
Iter 497/1831 took 2.58 seconds
Iter 498/1831 took 2.64 seconds
Iter 499/1831 took 2.68 seconds
Iter 500/1831 took 2.67 seconds
Iter 501/1831 took 2.68 seconds
Iter 502/1831 took 2.69 seconds
Iter 503/1831 took 2.67 seconds
Iter 504/1831 took 2.65 seconds
Iter 505/1831 took 2.67 seconds
Iter 506/1831 took 2.70 seconds
Iter 507/1831 took 2.77 seconds
Iter 508/1831 took 2.73 seconds
Iter 509/1831 took 2.80 seconds
Iter 510/1831 took 2.79 seconds
Iter 511/1831 took 2.79 seconds
Iter 512/1831 took 2.80 seconds
Iter 513/1831 took 2.81 seconds
Iter 514/1831 took 2.87 seconds
Iter 515/1831 took 2.80 seconds
Iter 516/1831 took 2.76 seconds
Iter 517/1831 took 2.70 seconds
Iter 518/1831 took 2.94 seconds
Iter 519/1831 took 2.84 seconds
Iter 520/1831 took 2.85 seconds
Iter 521/1831 took 2.75 seconds
Iter 522/1831 took 2.76 seconds
Iter 523/1831 took 2.92 seconds
Iter 524/1831 took 2.91 seconds
Iter 525/1831 took 2.95 seconds
Iter 526/1831 took 2.94 seconds
Iter 527/1831 took 2.69 seconds
Iter 528/1831 took 2.78 seconds
Iter 529/1831 took 2.66 seconds
Iter 530/1831 took 2.72 seconds
Iter 531/1831 took 2.68 seconds
Iter 532/1831 took 2.67 seconds
Iter 533/1831 took 2.72 seconds
Iter 534/1831 took 2.72 seconds
Iter 535/1831 took 2.65 seconds
Iter 536/1831 took 2.66 seconds
Iter 537/1831 took 2.74 seconds
Iter 538/1831 took 2.79 seconds
Iter 539/1831 took 2.72 seconds
Iter 540/1831 took 2.76 seconds
Iter 541/1831 took 2.74 seconds
Iter 542/1831 took 2.71 seconds
Iter 543/1831 took 2.65 seconds
Iter 544/1831 took 2.76 seconds
Iter 545/1831 took 2.82 seconds
Iter 546/1831 took 2.77 seconds
Iter 547/1831 took 2.75 seconds
Iter 548/1831 took 2.80 seconds
Iter 549/1831 took 2.76 seconds
Iter 550/1831 took 2.81 seconds
Iter 551/1831 took 2.64 seconds
Iter 552/1831 took 2.72 seconds
Iter 553/1831 took 2.72 seconds
Iter 554/1831 took 2.76 seconds
Iter 555/1831 took 2.81 seconds
Iter 556/1831 took 2.77 seconds
Iter 557/1831 took 2.76 seconds
Iter 558/1831 took 2.83 seconds
Iter 559/1831 took 2.81 seconds
Iter 560/1831 took 2.73 seconds
Iter 561/1831 took 2.69 seconds
Iter 562/1831 took 2.68 seconds
Iter 563/1831 took 2.67 seconds
Iter 564/1831 took 2.75 seconds
Iter 565/1831 took 2.70 seconds
Iter 566/1831 took 2.79 seconds
Iter 567/1831 took 2.71 seconds
Iter 568/1831 took 2.76 seconds
Iter 569/1831 took 2.75 seconds
Iter 570/1831 took 2.75 seconds
Iter 571/1831 took 2.74 seconds
Iter 572/1831 took 2.62 seconds
Iter 573/1831 took 2.66 seconds
Iter 574/1831 took 2.63 seconds
Iter 575/1831 took 2.66 seconds
Iter 576/1831 took 2.68 seconds
Iter 577/1831 took 2.72 seconds
Iter 578/1831 took 2.64 seconds
Iter 579/1831 took 2.67 seconds
Iter 580/1831 took 2.70 seconds
Iter 581/1831 took 2.68 seconds
Iter 582/1831 took 2.71 seconds
Iter 583/1831 took 2.74 seconds
Iter 584/1831 took 2.69 seconds
Iter 585/1831 took 2.68 seconds
Iter 586/1831 took 2.66 seconds
Iter 587/1831 took 2.67 seconds
Iter 588/1831 took 2.72 seconds
Iter 589/1831 took 2.72 seconds
Iter 590/1831 took 2.75 seconds
Iter 591/1831 took 2.67 seconds
Iter 592/1831 took 2.69 seconds
Iter 593/1831 took 2.77 seconds
Iter 594/1831 took 2.74 seconds
Iter 595/1831 took 2.67 seconds
Iter 596/1831 took 2.66 seconds
Iter 597/1831 took 2.72 seconds
Iter 598/1831 took 2.74 seconds
Iter 599/1831 took 2.75 seconds
Iter 600/1831 took 2.75 seconds
Iter 601/1831 took 2.75 seconds
Iter 602/1831 took 2.69 seconds
